ID,Kpi,Grade,wbs,contractor,date
6560,lifting ,74,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6559,welding machine,66,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",Proyecta,27/08/2022
6558,welding on steel pipe,61,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",Proyecta,27/08/2022
6557,drum roller compactor,63,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa,27/08/2022
6556,motor grader,63,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa,27/08/2022
6555,backfilling and site improvement,62,"Construction of a drainage system, also known as a sanitation network or sewer system. This infrastructure is designed to collect and dispose of stormwater and wastewater, preventing stagnation and flooding, and ensuring sanitation.",Idinsa,27/08/2022
6554,safety on site,66,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON,27/08/2022
6553,electrical panel,66,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON,27/08/2022
6552,block installation,70,"Construction of cooling towers. Structures designed to cool the water used in industrial and commercial systems. Their primary function is to remove heat from water-cooled systems, such as chillers, air conditioning systems, and process equipment.",FOSMON,27/08/2022
6551,crane,72,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA,27/08/2022
6550,safety excavation,62,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",LIBRA,27/08/2022
6549,pipe,64,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control,27/08/2022
6548,welding on steel pipe,67,"Water supply and return system. Water is extracted from a source and used in the building. The water is then treated, and the system returns the water to the source. It includes pipes, pumps, and a water treatment plant.",Energy Control,27/08/2022
6547,safety on site,64,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6546,scissor lift,69,"Construction of structural elements to support the rails and keep the railway track in place. These include cleats, which will be used to secure the rails to the sleepers.",Sisttemex,27/08/2022
6545,manual cutting with machine,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6544,scissor lift,70,"Construction of structural elements to support the rails and keep the railway track in place. These include cleats, which will be used to secure the rails to the sleepers.",AJAX,27/08/2022
6543,scissor lift,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Barosa,27/08/2022
6542,manual cutting with machine,68,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Barosa,27/08/2022
6541,titan crane,77,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6540,lifting ,75,"Piping interconnection is the process of connecting different pipes and services to create an integrated system. This process allows the flow of liquids, gases, or solids between different sections of the building.",HIDROTIC,27/08/2022
6539,scaffold,71,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6538,infrastructure safety inspection,65,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6537,welding machine,66,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6536,welding on steel pipe,69,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6535,safety on site,71,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI,27/08/2022
6534,structural steel,70,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI,27/08/2022
6533,scaffold,75,Manufacturing and assembly of metal structures to support various industrial and manufacturing systems,GCI,27/08/2022
6532,pipe,70,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",HIDROTIC,27/08/2022
6531,safety on site,70,Storage systems for different types of gases in high-pressure containers,JM Y CM construcciones,26/08/2022
6530,safety on site,57,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa,26/08/2022
6529,safety excavation,57,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",SISTEMIdinsa,26/08/2022
6528,safety excavation,66,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",Proyecta,26/08/2022
6527,safety excavation,61,"A system for collecting and draining liquids containing or contaminated with hydrocarbons, such as oil. Its main function is to prevent contamination of other drainage systems and ensure the proper disposal of oily waste.",Construcciones Garza,25/08/2022
6526,concrete structural element,63,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals",JM Y CM construcciones,25/08/2022
6525,concrete pouring,70,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",OMEGA constructora.,25/08/2022
6524,backfilling and site improvement,69,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.,25/08/2022
6523,safety on site,67,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.,25/08/2022
6522,scissor lift,66,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",OMEGA constructora.,25/08/2022
6521,safety on site,67,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones,25/08/2022
6520,excavator,75,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones,25/08/2022
6519,dump truck ,75,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones,25/08/2022
6518,rebar,66,"A telecommunications system with a technological infrastructure that enables the transmission and reception of information remotely, using various media such as electrical, optical, or electromagnetic signals.",JM Y CM construcciones,25/08/2022
6517,safety on site,63,"A pumping station is a specialized building designed to house and protect pumping equipment. These structures are used for water supply and wastewater management. They provide a safe, weatherproof environment for pumps and related equipment.",JM Y CM construcciones,25/08/2022
6516,excavator,72,"Fire extinguisher network: A set of components designed to provide water for firefighting. This network includes water sources, pumping equipment, and the piping network that distributes water to hydrants and other extinguishing devices.",IASSO,25/08/2022
6515,block installation,69,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa,25/08/2022
6514,manual cutting with machine,67,"central station monitoring service or a central station fire alarm system. These systems provide continuous monitoring of fire alarm systems, ensuring immediate notification to emergency responders in the event of a fire or other emergency",Idinsa,25/08/2022
6513,safety on site,67,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa,25/08/2022
6512,safety on site,63,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa,25/08/2022
6511,scaffold,59,"Building  designed primarily for administrative activities, including office space, training rooms, and conference rooms. These buildings are not typically subject to specialized safety regulations beyond standard codes",Idinsa,25/08/2022
6510,portable air compressor,69,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta,25/08/2022
6509,goulds pumps,75,"Building water storage tanks involves choosing the right type, determining the capacity, and preparing the tank's foundation. Then, construction or installation takes place. Factors such as waterproofing and ventilation",Proyecta,25/08/2022
6508,manual cutting with machine,74,"Interconnecting pipes in a refinery. To create a network  that transport various fluids (liquids, gases, and solids) between different processing units and equipment. This system, also known as process piping, is essential for moving materials through the plant, ensuring proper operation and production",Proyecta,25/08/2022
